Review Number,Review Text,Store
1,Aldi's generally receives positive reviews for its reasonable prices. Shoppers often appreciate the value for money and cost-effective options available at Aldi. This aldi also has spacious car parking,Aldi
2,"Well laid out shop. Good selection of  foods, fresh vegetables, meats and frozen food. Nice items in the middle isle.",Aldi
3,"Good store. The problem with some of these discount retailers is that they're often not adequately stocked with fresh food. But this Aldi is fairly well stocked. Lidl across the road is much worse. Also tends to be well staffed queues not long, polite staff. Good parking.",Aldi
4,"Super-fantastic!!!! 💖💕💞💖💕💞
Very good products, wide range, affordable prices!
Giant melon is so delicious, very tasty drinking joghurt. I am very very satisfied!
Definetely go back soon!
💖💕💞💖💕💞",Aldi
5,The quality of meat at Aldi doesn't looks well inside of the bits.  You can't be sure that you buy there a good food.,Aldi
6,"A lot of food variety, pots and tools. So cheap! Recommend it. They have great houmous as well.",Aldi
7,Lately stock not coming in. Marzepein bites sold out since 1st week of December. No tubs of Roses. Staff alway helpfull,Aldi
8,Thia store has improved a lot over time. Prices are good. They won me back.,Aldi
9,Good and fast service and helpful staff ready to help you if you need it,Aldi
10,Love these stores. Great products. Great pocket friendly prices...,Aldi
11,As usual. The saviour to the rescue with cheap everything but great quality. While everywhere else here in Dublin is incredibly unaffordable with the exception of a few. Thank you for enabling us to survive!,Aldi
12,Only go for the middle aile but always walk out with something food wise,Aldi
13,"Great food
With no price discounts or B S h  1 t , just good value 99% of the Time",Aldi
14,Lidl is much better. Check outs are not efficient and staff standing around chatting. Will go to the Lidl across the road in future.. Express check in Lidl is brilliant.,Aldi
15,They male staff are very unhelpful  and rude. I asked a member of staff to help me because bleach spilled all over my groceries and he looked at me and walked away.  There was a very helpful young lady who did help me thou. I will never go back to that store,Aldi
16,"Good place to shop, I was nearby, handy parking, opposite road is another grocery store, if you need",Aldi
17,Good shop. BUT there are no self service checkouts. There are 6 Checkouts (Never I have I seen all 6 open) But absolutely nothing for people with only a few items. Why not add in some self checkouts ?  That's why I head across the road to Lidl who does have self checkouts.,Aldi
18,Always love shopping in Aldi as they have a good range of organic products and many vegan options 😉 …,Aldi
19,"Need to be extra careful if you are foreigner or If you are visiting, criminals are about in car parks to rob you of your belongings. Criminals  choose foreign registration cars!",Aldi
20,Great helpfull staff always.,Aldi
21,"Lots of out of stocks lately, their prices have risen more than Lidl's for the same products, they don't get enough of the popular specialbuys items or the don't come in at all. An Irish short mid-late 30s female employee is rude and lazy, she needs to sort her attitude problem.",Aldi
22,"Our regular weekend shopping, food is not getting cheaper but you can save yourself a few bob by getting what you need without the added label price..",Aldi
23,Good spot to do a shopping,Aldi
24,Having a great time helping who I can when I can,Aldi
25,First time in an Ireland Aldi....something to get use too...great selection though.,Aldi
26,Great supermarket with a good range at a good price. You do need to get used to what's on offer and go knowing what to expect. They sell tasty produce at very reasonable prices. I do wish they used less plastic in their fruit and veg section!,Aldi
27,A lot of the staff here are extremely rude and very bad at customer service. Some of them have a terrible attitude and others don't even greet the customer when Scanning as they're too busy involved in laughing and joking whatever personal conversions they're having with the head pieces on to other staff,Aldi
28,Pleasant shopping experience. Had everything I needed. Staff were polite and friendly. 4 stars because they don't give you much time to gather your shopping before scanning the next customer.,Aldi
29,"Very easy to get to from Grand Canal, and worth the walk. Staff was helpful and good selection and prices. Got all of this for €39!  Wish there was a bit more selection of fresh produce and chicken but  may have just been  low on stock this day.",Aldi
30,In my opinion the best supermarket in Ireland. The quality of food is the best and the selection is precious. I am so happy I have their shop close to home. My diet is now much better THAN BEFORE ONLY because of Aldi. And I am deadly serious on these things. I care a lot about what I eat.,Aldi
31,Great value and great staff. It has a very convenient car park.  I would highly recommend Aldi for families for value and quality.,Aldi
32,"Good quality products, the cheapest supermarket prices in Dublin along with Lidl. They have a wide variety of products, with an outstanding middle aisle full of convenient items. Lots of options for imported food as well.",Aldi
33,"Great selection of grocery, amazing value for the money. You can find good selection of veg in very appealing prices. Big selection of local meat and cheeses. For the price you can't find better quality",Aldi
34,A nice full sized Aldi not too far from the city centre. Upholds the Aldi name with fully stocked shelves and biweekly special buys. Plenty of parking and good bike racks outside. As a student I love this place.,Aldi
35,"Good place keeps prices down with cheap tools like lidl, discouraging theives looking for more expensive tools to sell, knowing how scarce prison spaces now days are since Fine Gales Alan Chatere closed down rural Garda stations to redirect funding to asylum centers",Aldi
36,Excelent professionals working here. They are very helpful and have great attention to detail. I am one handed and I've been always asked if I need help with heavy or large items both at the aisles and àt the till.,Aldi
37,Great place to shop.. lovely stress-free staff and robin the manager is so helpful. Can’t wait to see the new set-up... and enjoy my shopping even more.,Aldi
38,"Always very well stocked during weekly specials. Could do with a makeover though, especially given the shiny new Lidl facing it. It feels a bit like it's stuck in the 1980's but sure I'm not looking to live in it eh?",Aldi
39,"I love this aldi but it does be freezing, my mam doesn’t want to go anymore because of this and it’s a nightmare as she has to travel further to the one in rathmines.",Aldi
40,"Very good shop, i love it. They have a lot of good product for very good prices.",Aldi
41,Love Aldi only wish we had them North of the border,Aldi
42,"I had a terrible experience in your East Wall store today.
It’s way too risky to go here.
Never again will I shop in Aldi over Lidl.

No crowd control or management of the situation. The security guard stood upstairs inside the store while customers pushed their way up the escalators.
There was way too many people in the shop. Tills still closed.
The poor staff were trying to pack shelves with people crowded around them.
So dangerous for customers & staff.",Aldi
43,"Great value, i missed coffee for my american coffee maker & parking was a little congested last Saturday Eve. Will start going there as normal store tho due to great value of products and even better cost",Aldi
44,"Parking is available.
Good variety considering the central location.",Aldi
45,"Robin. . So sorry  Mr Quinn from superquin  died as he had what it takes  but I'm very impressed with this store manager Robin in aldi east wall  he was so helpfull with our request to find more solar lights ,he went to the trouble to locate them call us to let us know they would be in in east wall next day and then call us to say they were there. Now that service is exceptional and definitely worth a fantastic review thank you  Robin youre one off the old block and very helpfull and very appreciated",Aldi
46,"While not a pretty supermarket, everything is in boxes unpacked, the deals are certainly worth bypassing this detail. Great quality only quirk is you need 2 euros to use the shopping cart which you get back at the end.",Aldi
47,Almost nothing is original.,Aldi
48,Great food @ reasonable prices. Getting a parking spot & around the shop on particularly busy days can be hell but worth it when you save half the cost,Aldi
49,"Quality of goods is barely acceptable, and the store is rather dirty, I understand that's the general compromise you have to have lower prices, but Lidl on the other side of the road is cheap as well and far more clean and tidy than this shop.",Aldi
50,"Great value shopping. Honesty. If your near the strand firebrigad station. Or Annesley bridge .near Ballybough also. Fair view park (in picture) was taken from Annesley bridge. East wall rd. Is just Right of this photo also. F.v.park. to the left where people Enjoying a glorious sunshine of a day. Around the start of the year. Or so. But a beautiful day."" Suprisling "". Theirs a road. Right to this photo. But just not in shot. Sorry. But next to this waterway is East-wall-Rd. Past under railway bridge. Your there. And I have to tell you that. Companies in Competition. Ouch. I hope that's ok.? But it mite have being a rumour just making it's way around everyone. That listen to gossip. Sometimes. But I need proper proof anyway. But I must say. I enjoyed how mennie Euros I was saving.its very Moden. And caters for all. How ever you get there. When you get to this store. First thing you notice. Is how clean they keep it. Architects gran pease of stunning build.  They have everything you need to have. They have it. And again staff are always willing, with a Smile. To help u kindly fined  something you just can't seem to find. Taking one star away. Just if they had more assistance .on the floor. To help. Would be much appreciated. But great value for money. ALDI. Live a little more. Shopping centre tops it for me. Food. A lot. Very very nice.🇮🇪➕⚘😊👀🤳",Aldi
51,"Had a fainting episode in store today, staff were exceptional in looking after me, brought me a chair, water, sweets etc and put me at ease during quite a stressful experience! Can't thank them enough!",Aldi
52,Probably my favourite Aldi in dublin so far. Its built above the Carparks on ground floor and basement. lifts and escalators to the main shop. Clean and efficient. Good selection of foods typical of Aldi. Can be a bit mental on a Sunday morning as shoppers and staff refilling shelves get in the way of each other.. but I like it,Aldi
53,Car parking a problem in new Swords store would think it's being used by people attending courthouse produce not as good now poor dates etc staff are very nice to deal with but the car parking situation is a turnoff despite e mails to their head office they responded saying they would look into it also spoke with manager who didn't seem that bothered also people using disabled spots without proper permits not managed,Aldi
54,"I would not be a fan of aldi, as have had to occasions when they lack of customer service is not up to standard. Alsi Eastwell lack of parking facilities is inadequate.  I had the experience of my car bring clamped even tho i was not parked in a disabled area. Had  to return my shopping in order to pay clamping fine. Got no satisfaction from management. Also bought a mobile phone which was useless ,contacted Aldi customer service by phone and was told if I had proof of purchase, which I did on my credit card bill, I would get refund,  yet when I returned to Aldi , manager would not refund my money as was out of time limit. In actual fact under consumer act as the goods were faulty I was entitled to full refund . I now only buy few items in aldi.",Aldi
55,"From the lads on security, to the lads on the tills - You guys somehow manage to be in good humour EVERY time! Well done to ye all - and I absolutely love the way you always say hello at checkout. Forget brilliant prices, your people are what makes me shop! See ye in 30 mins btw...!! Thanks Aldi",Aldi
56,A great store without the hassle to worry about parking. Feedback taken on packing the shopping.  Bad experience was the racist polish man and partner in the car park.,Aldi
57,Great place to shop .big value.lots of parking .the only reason I gave 4 stars is the fruit does not last very long after purchase.,Aldi
58,I was only in ALDI once at the start of the pandemic 2 years ago and we all were told to use masks but the majority of people didn't bother so I would never go back to that store again.,Aldi
