Review Number,Review Text,Store
1,"WORKED TO THE BONE
Ask an employee here where to find such and such an item and they will point in the general direction then again put on their head pieces and get back to their shelf packing for their master's over in Europe..
.I'm not finding fault with the workers as they are worked to the bone, and watched for slacking off, in order to keep prices low, bring many customers and so make fat profits but customer care is definitely lacking here.... Maybe it's better to pay more at another store rather than suffer this impersonalism",Lidl
2,I did shop here regularly and during my mnay visits it came to my attention how rude and dismissive the manager of this store is towards other staff members and sometimes customers. It has led me to avoid shopping here and I have begun to choose Aldi instead.,Lidl
3,"I like having Lidl close to my house, but the management here is not the best: Queues are always long and boring and this it's happening since they open this new shop. And the prices are not always the same with what you see when you take the product from shelves, I paid even 3 euro more for a product, when I did complain about it the people working in there didn't care, didn't change the prices and I'm very sure after this other people was screwd like I was. Other problem is when I go to pick up fruits, I don't have plastic bags to put the fruits in it. I don't blame the employees wich they always busy working, but the poor management trying to make money over customer care.",Lidl
4,My wife’s boyfriend told me about this store and he’s right it’s great.,Lidl
5,"This has to be one of the worse Lidl's I've used to date. How it's not been addressed is totally crazy. It's meant to target the lunchtime customer but you'd come back late for work if you ""popin"" here. A quick purchase will take 10 plus minutes. It's so under staffed it could be labeled a sweatshop by international standard's. Infact it's the hard work done by the staff that keeps the shop moving.
It's clear by the mess it's in that the management should be reviewed and renewed.
But don't take my word for it. Popin sometime and grab yourself a lunch. Just make sure you've got an extra long lunch break.
Pay attention to the poorly stocked shelves as the staff are all hands on deck trying to deal with the customers. After you've picked out a lunch. Try and pay. You'll have to enter into a game best know as Q roulette. No one knows what Q to get into and they just jump and swap without warning. Good luck if you get a fast moving one.
If you wait and get to a cashier. Your game is over, however if you go self service don't expect it to end so quickly. Time after time the scanner won't scan the lidl app. This ends up having to make people enter the barcode manually and guess what, they enter it incorrectly and get to have another go.
Great success 👍👍

Maybe in the new year the manager will be sacked and a new manager with a strong customer focus, will take over.
Tesco is across the road. It's not as good as lidl but you can get served

Update it's still a kip. Poorly ran but it's so easy to just pocket whatever you want. It's blatant and no one does anything about it. The staff are up to their eyes. The guard can't see anything because the lines are filling almost a third of the store. If they had a better manager they'd run it better. Maybe get 4 more self scans would be a start",Lidl
6,It is a very good supermarket with good prices and service❤️❤️❤️,Lidl
7,Nothing but empty shelves :( I came in for steak and smoked salmon but there was none . Long queues too . Cop the F on,Lidl
8,Decent shop. I would remove a star due to card only payments at self checkouts.,Lidl
9,"The store itself is nice and the location is good, the staff is mostly nice too, but there is one exception. One of the managers, a woman in her 25-30s, behaves in an arrogant, rude and unprofessional manner. If the client reproached her for lying and photographed the proof of her lie, then she immediately declares that the client is rude, that is, she has the right to lie to the client, and the client, in her opinion, should ignore her lies. It is normal for her to make racist comments and lie to clients not only on her own behalf, but also on behalf of her colleagues - my personal experience with her.
It is sad that such a woman was put in the position of manager. If the manager declares that she is obliged to strictly comply with the store policy, but at the same time she tells me - if the client is nice to me, then I will violate the store policy for him. Then the question is, what are the internal rules of the store for her and how many times does she violate for people or colleagues ""cute"" for her? How competent she is is a question for those who evaluated her professional qualities by offering her the position of a manager. I was forced to write a complaint against her for the second time.",Lidl
10,Great selection of products and queues are very quick with helpful staff if required,Lidl
11,All self-checkout tills are only available for card payments and only one till is open for cash payments which makes crazy queues. Please make some self-checkout tills available for cash payments!,Lidl
12,"Awful shop. The manager doesn't even deserve to be a bin man.

Free 🇵🇸 …",Lidl
13,"Large store! Well organised! Fresh bakery my favourite! Fresh sourdough bread - brown and white -  very good, acceptable price.",Lidl
14,"Easy to get to from my hotel the moxy. Had the simple things needed as a traveler. Water, coke, shaving needs. Didn't find the sprite. Refer near the door got both sparkling and still water. Check out Lines are full but move fast.
Been warned by our bus driver about pickpockets in the area. So be aware.",Lidl
15,Probably the best Lidl in Dublin. Always great quality fruit and veg and all displays always kept in great order. Credit to the hardworking staff and management.,Lidl
